SubjectArea,Subject,Band,Term,Definition
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Non-locomotor skills,"Moving on the spot without any change in location (e.g. bending, stretching, twisting, turning, swinging and balancing)."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Object control skills,"Skills that require an ability to handle an object or piece of equipment with control, such as kicking, striking, dribbling, propelling or stopping a ball."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Online tools,"Digital hardware, software, platforms and resources that are connected and support communications between users. Examples of online tools include websites for online shopping and fitness apps."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Personal qualities,"Characteristics that make you who you are, including knowledge and skills that you bring to your work, and your attributes that define how you will go about applying yourself to a role or task."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Physical activity,"Body movement through playing sport, exercising, everyday activities and other forms of active recreation."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Play,"Any activity that is positively valued by the player, self-motivated, freely chosen and engageing."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Power,A sense of control; having choices and the ability to influence our environment and others.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Protective behaviours,Behaviours which enable children to recognise and respond to situations in which their personal space and sense of safety may be compromised.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Resilient,Ability to deal constructively with change or challenge to keep or return to a state of wellbeing.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Respect,"Behaviour that acknowledges and takes account of the rights, needs, wishes and feelings of others."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Respectful relationships,"Connections characterised by non-violence, equality, mutual respect and consideration and trust."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Safety,"Freedom from danger, injury or harm by assessing risk, making safe decisions and acting in ways that ensure the safety of themselves and others."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Self-identity,An individual’s perception of ‘self’ and their place in the world in relation to a range of personal characteristics and cultural norms and expectations.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Sense of self,An individual’s perception of ‘self’ and their place in the world in relation to a range of personal characteristics and cultural norms and expectations.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Sexual health,"A positive and respectful approach to sexuality and sexual relationships, which may include engageing in pleasurable and safe sexual experiences, free of coercion, discrimination and violence."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Techniques,"Movement patterns that support skilled performance such as throwing, catching and jumping. Technical ability is only one aspect of skilled performance."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Transitions,Internal processes or psychological reorientation people experience as a result of change.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Trusted adults,"Reliable people who children feel comfortable talking to if they are upset or need help when engaged in online activities. They might include family members, carers, teachers."
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Validity,The state of being logically or factually sound.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Values,Ideas and beliefs specific to individuals and groups.
Health and Physical Education,Health and Physical Education,Foundation to Year 10,Wellbeing,"A sense of wellness and quality of life or the capacity to look after their own or others' health, safety and relationships, including developing and maintaining a healthy relationship with digital tools."
