SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC05,They explain why health information is important for making choices.,"Personal, social and community health","choices,explain,health,important,information,making",AC9HP2P06,High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC06,Students apply fundamental movement skills in different movement situations and explain how they move with objects and in space effectively.,Movement and physical activity,"apply,different,effectively,explain,fundamental,move,movement,objects,situations,skills,space,students","AC9HP2M01,AC9HP2M02",High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC07,They describe factors that make physical activity beneficial.,Movement and physical activity,"activity,beneficial,describe,factors,make,physical",AC9HP2M03,High
Health and Physical Education,Health and Physical Education,Years 1 and 2,AC9HP2ASC08,Students develop and apply rules while collaborating with others in a range of movement contexts.,Movement and physical activity,"apply,collaborating,contexts,develop,movement,others,range,rules,students,while",AC9HP2M04,High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC01,"By the end of Year 4, students identify influences that strengthen identities and describe strategies to manage emotions, changes and transitions.","Personal, social and community health","changes,describe,emotions,identify,identities,influences,manage,strategies,strengthen,students,transitions,year","AC9HP4P01,AC9HP4P02",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC02,They apply skills and strategies to interact respectfully with others.,"Personal, social and community health","apply,interact,others,respectfully,skills,strategies","AC9HP4P04,AC9HP4P05",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC03,They describe the influences that inclusion and stereotypes have on choices and actions.,"Personal, social and community health","actions,choices,describe,inclusion,influences,stereotypes","AC9HP4P03,AC9HP4P05",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC04,Students describe and apply protective behaviours and help-seeking strategies to keep themselves and others safe online and offline.,"Personal, social and community health","apply,behaviours,describe,help-seeking,keep,offline,online,others,protective,safe,strategies,students,themselves","AC9HP4P08,AC9HP4P07",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC05,"They interpret health information to apply strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","apply,enhance,health,information,interpret,others’,relationships,safety,strategies,wellbeing","AC9HP4P10,AC9HP4P09",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC06,Students apply fundamental movement skills and demonstrate movement concepts across a range of situations.,Movement and physical activity,"across,apply,concepts,demonstrate,fundamental,movement,range,situations,skills,students","AC9HP4M01,AC9HP4M03",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC07,They adapt movement strategies to enhance movement outcomes.,Movement and physical activity,"adapt,enhance,movement,outcomes,strategies",AC9HP4M02,High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC08,Students examine factors that influence participation and propose strategies to incorporate regular physical activity into their own and others’ lives.,Movement and physical activity,"activity,examine,factors,incorporate,influence,lives,others’,participation,physical,propose,regular,strategies,students","AC9HP4M05,AC9HP4M04,AC9HP4M06",High
Health and Physical Education,Health and Physical Education,Years 3 and 4,AC9HP4ASC09,They demonstrate fair play and inclusion through a range of roles in movement contexts.,Movement and physical activity,"contexts,demonstrate,fair,inclusion,movement,play,range,roles","AC9HP4M09,AC9HP4M08",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC01,"By the end of Year 6, students explain how different factors influence identities.","Personal, social and community health","different,explain,factors,identities,influence,students,year",AC9HP6P01,High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC02,"They propose strategies to manage emotions, developmental changes and transitions.","Personal, social and community health","changes,developmental,emotions,manage,propose,strategies,transitions",AC9HP6P02,High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC03,"They propose strategies to demonstrate respect, empathy and inclusion.","Personal, social and community health","demonstrate,empathy,inclusion,propose,respect,strategies","AC9HP6P04,AC9HP6P05",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC04,They explain how stereotypes influence roles and responsibilities.,"Personal, social and community health","explain,influence,responsibilities,roles,stereotypes",AC9HP6P03,High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC05,"Students explain how communication skills, protective behaviours and help-seeking strategies keep themselves and others safe online and offline.","Personal, social and community health","behaviours,communication,explain,help-seeking,keep,offline,online,others,protective,safe,skills,strategies,students,themselves","AC9HP6P08,AC9HP6P07",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC06,"They analyse health information to refine strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","analyse,enhance,health,information,others’,refine,relationships,safety,strategies,wellbeing","AC9HP6P10,AC9HP6P09",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC07,Students refine and modify movement skills and apply movement concepts across a range of situations.,Movement and physical activity,"across,apply,concepts,modify,movement,range,refine,situations,skills,students","AC9HP6M01,AC9HP6M03",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC08,They transfer movement strategies between situations and evaluate the impact on movement outcomes.,Movement and physical activity,"between,evaluate,impact,movement,outcomes,situations,strategies,transfer",AC9HP6M02,High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC09,"Students propose strategies to promote physical activity participation that enhance health, fitness and wellbeing.",Movement and physical activity,"activity,enhance,fitness,health,participation,physical,promote,propose,strategies,students,wellbeing","AC9HP6M04,AC9HP6M05,AC9HP6M06",High
Health and Physical Education,Health and Physical Education,Years 5 and 6,AC9HP6ASC10,They describe contributions they can make as a group and team member to support fair play and inclusion across a range of movement contexts.,Movement and physical activity,"across,contexts,contributions,describe,fair,group,inclusion,make,member,movement,play,range,support,team","AC9HP6M08,AC9HP6M09",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC01,"By the end of Year 8, students analyse factors that influence identities, emotions and responses to change, and describe strategies to respond to these influences.","Personal, social and community health","analyse,change,describe,emotions,factors,identities,influence,influences,respond,responses,strategies,students,year","AC9HP8P01,AC9HP8P02",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC02,"They analyse how stereotypes, respect, empathy and valuing diversity influence relationships.","Personal, social and community health","analyse,diversity,empathy,influence,relationships,respect,stereotypes,valuing","AC9HP8P04,AC9HP8P05,AC9HP8P03",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC03,"Students analyse the effectiveness of assertive communication strategies, protective behaviours and help-seeking strategies applied online and offline.","Personal, social and community health","analyse,applied,assertive,behaviours,communication,effectiveness,help-seeking,offline,online,protective,strategies,students","AC9HP8P08,AC9HP8P07",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC04,"They analyse health information and messages to propose strategies that enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","analyse,enhance,health,information,messages,others’,propose,relationships,safety,strategies,wellbeing","AC9HP8P10,AC9HP8P09",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC05,Students apply and transfer movement skills and movement concepts across a range of situations.,"Personal, social and community health","across,apply,concepts,movement,range,situations,skills,students,transfer","AC9HP8M01,AC9HP8M03",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC06,They implement and evaluate the effectiveness of movement strategies on movement outcomes.,"Personal, social and community health","effectiveness,evaluate,implement,movement,outcomes,strategies","AC9HP8M02,AC9HP8M07",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC07,"Students propose and evaluate strategies designed to achieve personal health, fitness and wellbeing outcomes.","Personal, social and community health","achieve,designed,evaluate,fitness,health,outcomes,personal,propose,strategies,students,wellbeing","AC9HP8M06,AC9HP8M04,AC9HP8M05",High
Health and Physical Education,Health and Physical Education,Years 7 and 8,AC9HP8ASC08,"They select, use and refine strategies to support inclusion, fair play and collaboration across a range of movement contexts.","Personal, social and community health","across,collaboration,contexts,fair,inclusion,movement,play,range,refine,select,strategies,support","AC9HP8M08,AC9HP8P09",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC01,"By the end of Year 10, students propose and evaluate personal strategies to manage their identities, emotions and responses to change.","Personal, social and community health","change,emotions,evaluate,identities,manage,personal,propose,responses,strategies,students,year","AC9HP10P01,AC9HP10P02",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC02,"They evaluate how attitudes and beliefs about equality, respect, diversity and inclusion influence the nature and quality of relationships.","Personal, social and community health","about,attitudes,beliefs,diversity,equality,evaluate,inclusion,influence,nature,quality,relationships,respect","AC9HP10P03,AC9HP10P04,AC9HP10P05",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC03,"Students propose and justify strategies to manage online and offline situations where their own or others’ health, safety, relationships or wellbeing may be at risk.","Personal, social and community health","health,justify,manage,offline,online,others’,propose,relationships,risk,safety,situations,strategies,students,wellbeing,where","AC9HP10P08,AC9HP10P07",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC04,"They synthesise health information from credible sources to propose and justify strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","credible,enhance,health,information,justify,others’,propose,relationships,safety,sources,strategies,synthesise,wellbeing","AC9HP10P10,AC9HP10P09",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC05,"Students evaluate and refine their own and others’ movement skills and performances, and apply movement concepts in challenging or unfamiliar situations.",Movement and physical activity,"apply,challenging,concepts,evaluate,movement,others’,performances,refine,situations,skills,students,unfamiliar","AC9HP10M01,AC9HP10M03",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC06,They adapt and transfer movement strategies to unfamiliar situations to achieve successful outcomes.,Movement and physical activity,"achieve,adapt,movement,outcomes,situations,strategies,successful,transfer,unfamiliar",AC9HP10M02,High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC07,"Students propose and evaluate community-based physical activity interventions designed to improve the health, fitness and wellbeing of themselves and others.","Personal, social and community health","activity,community-based,designed,evaluate,fitness,health,improve,interventions,others,physical,propose,students,themselves,wellbeing","AC9HP10P04,AC9HP10P05,AC9HP10P06",High
Health and Physical Education,Health and Physical Education,Years 9 and 10,AC9HP10ASC08,"They apply and evaluate leadership approaches, collaboration strategies and ethical behaviours across a range of movement contexts.","Personal, social and community health","across,apply,approaches,behaviours,collaboration,contexts,ethical,evaluate,leadership,movement,range,strategies","AC9HP10P08,AC9HP10P09",High


